SOC	Ecell/V
99.30072807	4.1666007
99.29965393	4.1666389
99.29857979	4.1666808
99.29750565	4.1665702
99.29643151	4.1666541
99.29535737	4.1665778
99.29428323	4.1664748
99.29320909	4.1665244
99.29213495	4.1665092
99.2910608	4.1665168
99.28998665	4.1664019
99.2889125	4.1663871
99.28783835	4.1663408
99.28676421	4.166337
99.28569006	4.1662531
99.28461592	4.1664095
99.28354178	4.1663141
99.28246763	4.1661959
99.28139349	4.1662188
99.28031934	4.1661654
99.27924518	4.1662035
99.27817102	4.1661882
99.27709686	4.1661272
99.27602269	4.1661577
99.27494853	4.1660318
99.27387437	4.1660738
99.27280021	4.1659098
99.27172605	4.1659632
99.27065189	4.1659174
99.26957773	4.1659975
99.26850357	4.1658525
99.26742941	4.1659327
99.26635525	4.1658449
99.26528109	4.1658792
99.26420694	4.1658678
99.26313279	4.1657534
99.26205864	4.1658297
99.26098449	4.165719
99.25991034	4.1657915
99.25883619	4.1657152
99.25776204	4.1657381
99.25668789	4.1656275
99.25561374	4.1657267
99.25453959	4.1656504
99.25346545	4.165555
99.25239129	4.1655359
99.25131714	4.1655245
99.25024299	4.1655321
99.24916885	4.1655741
99.2480947	4.1653562
99.24702055	4.1654787
99.2459464	4.1653104
99.24487225	4.1653562
99.24379811	4.1653256
99.24272397	4.1652989
99.24164983	4.1652951
99.24057569	4.1652608
99.23950154	4.1652303
99.2384274	4.1653104
99.23735325	4.1652265
99.23627911	4.1651616
99.23520496	4.1651387
99.23413081	4.1651387
99.23305666	4.165154
99.23198251	4.1650891
99.23090836	4.1649861
99.22983422	4.1650548
99.22876007	4.1649556
99.22768592	4.1649861
99.22661176	4.1650205
99.22553761	4.1649213
99.22446345	4.1648526
99.2233893	4.1648564
99.22231514	4.1648679
99.22124099	4.1648221
99.22016683	4.1648183
99.21909268	4.1647267
99.21801853	4.1647305
99.21694438	4.1647038
99.21587023	4.164639
99.21479608	4.1646733
99.21372193	4.1646237
99.21264777	4.1646237
99.21157362	4.1645551
99.21049948	4.1644936
99.20942533	4.1644821
99.20835119	4.1645088
99.20727705	4.1645546
99.2062029	4.1644096
99.20512876	4.1644211
99.20405462	4.1643448
99.20298047	4.1644478
99.20190633	4.1643677
99.20083218	4.164341
99.19975803	4.1642609
99.19868388	4.1642952
99.19760973	4.1642418
99.19653559	4.1642838
99.19546144	4.1641083
99.1943873	4.1641808
99.19331316	4.1641617
99.19223903	4.1641426
99.19116488	4.1641731
99.19009074	4.164093
99.1890166	4.1640663
99.18794245	4.1639442
99.1868683	4.1639671
99.18579416	4.1640053
99.18472001	4.1639442
99.18364586	4.163887
99.18257172	4.1639252
99.18149757	4.163929
99.18042343	4.1638603
99.17934928	4.1638107
99.17827514	4.1637383
99.177201	4.1638641
99.17612685	4.1638031
99.1750527	4.1636729
99.17397855	4.163631
99.17290439	4.163784
99.17183022	4.1636691
99.17075607	4.163631
99.16968192	4.1636386
99.16860777	4.163547
99.16753363	4.163547
99.16645949	4.1634784
99.16538535	4.1634936
99.16431121	4.1634593
99.16323707	4.1634021
99.16216293	4.1634822
99.16108879	4.1633868
99.16001465	4.1633296
99.15894051	4.1633105
99.15786636	4.1632838
99.15679222	4.1632876
99.15571808	4.1633639
99.15464393	4.1631427
99.15356979	4.1631579
99.15249566	4.1631999
99.15142151	4.1631999
99.15034736	4.1630969
99.14927321	4.1631045
99.14819906	4.1630778
99.14712491	4.1630855
99.14605077	4.1630588
99.14497663	4.1630702
99.14390249	4.1630092
99.14282835	4.162971
99.14175421	4.1629748
99.14068008	4.1629519
99.13960594	4.1629062
99.1385318	4.1629062
99.13745765	4.1628451
99.13638352	4.1628718
99.13530938	4.1627917
99.13423524	4.162715
99.13316111	4.162715
99.13208698	4.1627226
99.13101285	4.1626806
99.12993871	4.1626272
99.12886458	4.1626844
99.12779044	4.1625967
99.1267163	4.1625738
99.12564217	4.1625891
99.12456803	4.1625853
99.12349388	4.1625051
99.12241973	4.1624098
99.12134558	4.1624861
99.12027143	4.1624556
99.11919729	4.1624479
99.11812315	4.1624212
99.11704902	4.1624746
99.11597488	4.1623259
99.11490074	4.1622877
99.1138266	4.1623335
99.11275246	4.1622496
99.11167831	4.162303
99.11060417	4.1622343
99.10953002	4.1622534
99.10845587	4.1622152
99.10738173	4.1621313
99.10630759	4.1621962
99.10523344	4.162055
99.1041593	4.1620512
99.10308515	4.1620169
99.102011	4.1620626
99.10093686	4.1619978
99.09986271	4.1619825
99.09878856	4.1619902
99.09771441	4.1619444
99.09664026	4.161994
99.09556612	4.161818
99.09449198	4.1617951
99.09341783	4.1618948
99.09234368	4.1617799
99.09126955	4.1617608
99.09019541	4.1617837
99.08912127	4.161799
99.08804714	4.1617227
99.08697301	4.1617112
99.08589888	4.1617036
99.08482475	4.161696
99.08375062	4.1615701
99.08267649	4.1616426
99.08160237	4.1615472
99.08052824	4.1614938
99.07945412	4.16149
99.07838	4.1614823
99.07730587	4.1614671
99.07623175	4.1614823
99.07515762	4.1613526
99.07408348	4.1613908
99.07300935	4.1613755
99.07193521	4.1613145
99.07086109	4.1613526
99.06978695	4.1613336
99.06871283	4.161303
99.0676387	4.161181
99.06656457	4.1612267
99.06549044	4.1611543
99.0644163	4.1611924
99.06334217	4.161181
99.06226803	4.1611657
99.06119389	4.1610742
99.06011975	4.1610818
99.0590456	4.1610131
99.05797145	4.1611199
99.05689731	4.1610742
99.05582318	4.1609325
99.05474904	4.1609325
99.0536749	4.1608982
99.05260076	4.1609368
99.05152661	4.1609402
99.05045247	4.1608334
99.04937833	4.1608944
99.04830419	4.1608715
99.04723004	4.1607609
99.0461559	4.1607265
99.04508175	4.1607189
99.04400761	4.1607494
99.04293347	4.1607494
99.04185933	4.1606426
99.04078519	4.1606274
99.03971105	4.160532
99.03863691	4.1605587
99.03756277	4.1605778
99.03648863	4.1605701
99.03541449	4.1605053
99.03434035	4.1604252
99.03326622	4.1604748
99.03219209	4.1603832
99.03111796	4.1604671
99.03004383	4.1603374
99.02896969	4.1603947
99.02789555	4.1603222
99.02682142	4.160326
99.02574727	4.1602726
99.02467313	4.1602726
99.02359898	4.1601963
99.02252483	4.1601696
99.02145068	4.1601849
99.02037653	4.1601658
99.01930237	4.1601505
99.01822822	4.1601124
99.01715406	4.1600933
99.01607991	4.1600165
99.01500575	4.1601429
99.0139316	4.1599669
99.01285744	4.1600127
99.01178329	4.1599669
99.01070914	4.1599746
99.00963498	4.1599708
99.00856082	4.1598678
99.00748666	4.1599441
99.0064125	4.1599021
99.00533834	4.1598411
99.00426419	4.1599059
99.00319003	4.1597838
99.00211586	4.1597686
99.0010417	4.1596923
98.99996754	4.1596732
98.99889339	4.1596961
98.99781923	4.159658
98.99674507	4.1596084
98.99567091	4.1596427
98.99459675	4.1595664
98.99352259	4.1596122
98.99244843	4.1594901
98.99137427	4.1595092
98.9903001	4.1595359
98.98922594	4.1593986
98.98815178	4.1594138
98.98707762	4.1594062
98.98600346	4.1593719
98.9849293	4.1593337
98.98385513	4.1593108
98.98278097	4.1593146
98.98170681	4.1592612
98.98063264	4.1592994
98.97955847	4.1592689
98.97848431	4.1592231
98.97741015	4.1592231
98.97633599	4.15907
98.97526183	4.1592155
98.97418767	4.1591082
98.97311352	4.1590433
98.97203937	4.1591272
98.97096522	4.1591005
98.96989107	4.1590929
98.96881693	4.1589861
98.96774278	4.1589823
98.96666864	4.1590624
98.9655945	4.1589136
98.96452036	4.1589479
98.9634462	4.1588182
98.96237205	4.1588526
98.96129789	4.158906
98.96022373	4.1588259
98.95914957	4.1588259
98.95807542	4.1588564
98.95700126	4.1587839
98.95592711	4.1586847
98.95485296	4.1586733
98.9537788	4.1586504
98.95270465	4.1586084
98.95163049	4.1586428
98.95055634	4.1585932
98.94948219	4.1585588
98.94840803	4.158536
98.94733387	4.1584902
98.94625971	4.1585436
98.94518555	4.1585665
98.9441114	4.1584139
98.94303725	4.158452
98.94196311	4.1583872
98.94088896	4.1584749
98.93981482	4.1583414
98.93874067	4.1583643
98.93766652	4.1582689
98.93659237	4.158288
98.93551822	4.1582379
98.93444408	4.158215
98.93336993	4.1581998
98.93229577	4.1581845
98.93122162	4.1581349
98.93014747	4.1582036
98.92907331	4.1581159
98.92799916	4.1580625
98.926925	4.1581044
98.92585084	4.158051
98.92477669	4.1580625
98.92370254	4.1579823
98.92262838	4.1579595
98.92155423	4.1580243
98.92048009	4.1579289
98.91940594	4.1579404
98.91833179	4.1579099
98.91725765	4.1578488
98.9161835	4.1578412
98.91510934	4.1577954
98.91403519	4.1578183
98.91296104	4.1577916
98.91188688	4.1577344
98.91081273	4.1577954
98.90973858	4.157784
98.90866442	4.1576352
98.90759027	4.1576772
98.90651612	4.1576352
98.90544196	4.1577039
98.9043678	4.157517
98.90329363	4.1575055
98.90221947	4.1575437
98.90114531	4.1574941
98.90007114	4.157433
98.89899698	4.1575284
98.89792281	4.1574407
98.89684865	4.157414
98.89577449	4.1574063
98.89470033	4.157414
98.89362617	4.1573949
98.89255201	4.1573415
98.89147786	4.1572876
98.89040371	4.1572533
98.88932956	4.1572647
98.88825542	4.1571693
98.88718128	4.1572075
98.88610713	4.1572418
98.88503299	4.1571693
98.88395884	4.1571274
98.88288469	4.1570702
98.88181054	4.1571198
98.88073639	4.1570969
98.87966224	4.157032
98.87858809	4.1569939
98.87751394	4.1569443
98.87643979	4.1570129
98.87536563	4.1569023
98.87429148	4.1569748
98.87321733	4.1568985
98.87214318	4.1569214
98.87106903	4.1568375
98.86999488	4.1568413
98.86892074	4.1568336
98.86784658	4.1568756
98.86677243	4.1567574
98.86569828	4.1567192
98.86462413	4.1567001
98.86354998	4.1566544
98.86247583	4.1566505
98.86140169	4.1565819
98.86032755	4.1565666
98.85925341	4.1566048
98.85817927	4.1565857
98.85710512	4.1565437
98.85603098	4.156456
98.85495683	4.1565208
98.85388269	4.1564445
98.85280855	4.1563716
98.85173441	4.1563525
98.85066027	4.156383
